Angle,Radius,Value
165,1,2.45E-06
165,1.5,6.17E-06
165,2,6.31E-06
165,3,1.35E-05
165,4,1.45E-05
165,5,1.55E-05
165,6,1.63E-05
165,8,3.46E-05
165,10,3.65E-05
165,15,9.32E-05
165,20,8.68E-05
165,30,1.32E-04
165,40,7.57E-05
165,50,3.73E-05
165,60,1.50E-05
168.75,0.05,2.98E-06
168.75,0.1,1.30E-06
168.75,0.15,9.51E-07
168.75,0.2,8.09E-07
168.75,0.3,1.38E-06
168.75,0.4,1.15E-06
168.75,0.5,1.14E-06
168.75,0.6,1.08E-06
168.75,0.8,1.98E-06
168.75,1,1.89E-06
168.75,1.5,4.78E-06
168.75,2,4.89E-06
168.75,3,1.05E-05
168.75,4,1.12E-05
168.75,5,1.20E-05
168.75,6,1.27E-05
168.75,8,2.71E-05
168.75,10,2.83E-05
168.75,15,7.26E-05
168.75,20,6.74E-05
168.75,30,1.02E-04
168.75,40,5.86E-05
168.75,50,2.89E-05
168.75,60,1.16E-05
172.5,0.05,2.07E-06
172.5,0.1,9.11E-07
172.5,0.15,6.74E-07
172.5,0.2,5.68E-07
172.5,0.3,9.45E-07
172.5,0.4,8.06E-07
172.5,0.5,7.63E-07
172.5,0.6,7.29E-07
172.5,0.8,1.39E-06
172.5,1,1.33E-06
172.5,1.5,3.38E-06
172.5,2,3.51E-06
172.5,3,7.47E-06
172.5,4,8.12E-06
172.5,5,8.64E-06
172.5,6,9.11E-06
172.5,8,1.93E-05
172.5,10,2.03E-05
172.5,15,5.19E-05
172.5,20,4.81E-05
172.5,30,7.31E-05
172.5,40,4.19E-05
172.5,50,2.06E-05
172.5,60,8.23E-06
176.25,0.05,1.22E-06
176.25,0.1,5.32E-07
176.25,0.15,3.94E-07
176.25,0.2,3.46E-07
176.25,0.3,5.67E-07
176.25,0.4,4.89E-07
176.25,0.5,4.56E-07
176.25,0.6,4.53E-07
176.25,0.8,8.45E-07
176.25,1,8.03E-07
176.25,1.5,2.05E-06
176.25,2,2.13E-06
176.25,3,4.50E-06
176.25,4,4.85E-06
176.25,5,5.19E-06
176.25,6,5.47E-06
176.25,8,1.16E-05
176.25,10,1.23E-05
176.25,15,3.11E-05
176.25,20,2.90E-05
176.25,30,4.38E-05
176.25,40,2.51E-05
176.25,50,1.23E-05
176.25,60,4.91E-06
180,0.05,4.04E-07
180,0.1,1.75E-07
180,0.15,1.32E-07
180,0.2,1.10E-07
180,0.3,1.97E-07
180,0.4,1.64E-07
180,0.5,1.66E-07
180,0.6,1.43E-07
180,0.8,2.88E-07
180,1,2.63E-07
180,1.5,6.82E-07
180,2,6.93E-07
180,3,1.48E-06
180,4,1.64E-06
180,5,1.71E-06
180,6,1.81E-06
180,8,3.85E-06
180,10,4.12E-06
180,15,1.04E-05
180,20,9.63E-06
180,30,1.46E-05
180,40,8.41E-06
180,50,4.08E-06
180,60,1.61E-06
